"","depart","arrive","distance","nbcom"
"308","ORD","IAH","1,488.8",308
"309","ORD","JFK","1,190.8",309
"310","ORD","LAS","2,437.0",310
"311","ORD","LAX","2,807.6",311
"312","ORD","LGA","1,180.0",312
"313","ORD","MCO","1,617.4",313
"314","ORD","MIA","1,926.5",314
"315","ORD","MSP","537.8",315
"316","ORD","ORD","0.0",316
"317","ORD","PHL","1,090.9",317
"318","ORD","PHX","2,317.2",318
"319","ORD","SEA","2,769.0",319
"320","ORD","SFO","2,971.0",320
"321","PHL","ATL","1,072.1",321
"322","PHL","BOS","450.7",322
"323","PHL","CLT","721.6",323
"324","PHL","DEN","2,506.7",324
"325","PHL","DFW","2,096.4",325
"326","PHL","DTW","729.6",326
"327","PHL","EWR","128.9",327
"328","PHL","IAH","2,131.7",328
"329","PHL","JFK","150.8",329
"330","PHL","LAS","3,502.6",330
"331","PHL","LAX","3,864.8",331
"332","PHL","LGA","153.7",332
"333","PHL","MCO","1,386.2",333
"334","PHL","MIA","1,630.6",334
"335","PHL","MSP","1,577.9",335
"336","PHL","ORD","1,090.9",336
"337","PHL","PHL","0.0",337
"338","PHL","PHX","3,339.8",338
"339","PHL","SEA","3,827.4",339
"340","PHL","SFO","4,057.5",340
"341","PHX","ATL","2,554.5",341
"342","PHX","BOS","3,701.4",342
"343","PHX","CLT","2,854.5",343
"344","PHX","DEN","968.5",344
"345","PHX","DFW","1,396.8",345
"346","PHX","DTW","2,688.9",346
"347","PHX","EWR","3,432.5",347
"348","PHX","IAH","1,623.8",348
"349","PHX","JFK","3,465.4",349
"350","PHX","LAS","410.8",350
"351","PHX","LAX","595.7",351
"352","PHX","LGA","3,457.7",352
"353","PHX","MCO","2,975.1",353
"354","PHX","MIA","3,173.2",354
"355","PHX","MSP","2,053.5",355
"356","PHX","ORD","2,317.2",356
"357","PHX","PHL","3,339.8",357
"358","PHX","PHX","0.0",358
"359","PHX","SEA","1,781.1",359
"360","PHX","SFO","1,047.5",360
"361","SEA","ATL","3,511.3",361
"362","SEA","BOS","4,016.4",362
"363","SEA","CLT","3,667.9",363
"364","SEA","DEN","1,648.0",364
"365","SEA","DFW","2,671.0",365
"366","SEA","DTW","3,101.3",366
"367","SEA","EWR","3,864.9",367
"368","SEA","IAH","3,015.6",368
"369","SEA","JFK","3,896.8",369
"370","SEA","LAS","1,394.5",370
"371","SEA","LAX","1,535.2",371
"372","SEA","LGA","3,882.7",372
"373","SEA","MCO","4,109.9",373
"374","SEA","MIA","4,383.9",374
"375","SEA","MSP","2,251.2",375
"376","SEA","ORD","2,769.0",376
"377","SEA","PHL","3,827.4",377
"378","SEA","PHX","1,781.1",378
"379","SEA","SEA","0.0",379
"380","SEA","SFO","1,092.0",380
"381","SFO","ATL","3,442.2",381
"382","SFO","BOS","4,351.8",382
"383","SFO","CLT","3,695.4",383
"384","SFO","DEN","1,556.4",384
"385","SFO","DFW","2,356.7",385
"386","SFO","DTW","3,345.4",386
"387","SFO","EWR","4,128.4",387
"388","SFO","IAH","2,631.6",388
"389","SFO","JFK","4,161.9",389
"390","SFO","LAS","666.2",390
"391","SFO","LAX","543.0",391
"392","SFO","LGA","4,151.1",392
"393","SFO","MCO","3,936.2",393
"394","SFO","MIA","4,160.2",394
"395","SFO","MSP","2,557.0",395
"396","SFO","ORD","2,971.0",396
"397","SFO","PHL","4,057.5",397
"398","SFO","PHX","1,047.5",398
"399","SFO","SEA","1,092.0",399
"400","SFO","SFO","0.0",400
